0,1782107179.952211
1,1782107179.952373
2,1782107179.952420
3,1782107179.952453
4,1782107179.952482
5,1782107179.952509
6,1782107179.952535
7,1782107179.952560
8,1782107179.952586
9,1782107179.952614
10,1782107179.985585
11,1782107179.985631
12,1782107179.985646
13,1782107179.985661
14,1782107179.985674
15,1782107179.985688
16,1782107179.985701
17,1782107179.985716
18,1782107179.985729
19,1782107179.985743
20,1782107180.018794
21,1782107180.018842
22,1782107180.018859
23,1782107180.018875
24,1782107180.018890
25,1782107180.018908
26,1782107180.018927
27,1782107180.018943
28,1782107180.018958
29,1782107180.018975
30,1782107180.052237
31,1782107180.052286
32,1782107180.052340
33,1782107180.052361
34,1782107180.052377
35,1782107180.052392
36,1782107180.052407
37,1782107180.052422
38,1782107180.052438
39,1782107180.052454
40,1782107180.085526
41,1782107180.085570
42,1782107180.085588
43,1782107180.085603
44,1782107180.085619
45,1782107180.085634
46,1782107180.085649
47,1782107180.085667
48,1782107180.085682
49,1782107180.085698
50,1782107180.118739
51,1782107180.118776
52,1782107180.118793
53,1782107180.118808
54,1782107180.118822
55,1782107180.118835
56,1782107180.118848
57,1782107180.118863
58,1782107180.118876
59,1782107180.118890
60,1782107180.152090
61,1782107180.152133
62,1782107180.152149
63,1782107180.152165
64,1782107180.152180
65,1782107180.152197
66,1782107180.152211
67,1782107180.152226
68,1782107180.152241
69,1782107180.152256
70,1782107180.185476
71,1782107180.185519
72,1782107180.185530
73,1782107180.185541
74,1782107180.185552
75,1782107180.185563
76,1782107180.185573
77,1782107180.185589
78,1782107180.185600
79,1782107180.218845
80,1782107180.218876
81,1782107180.218886
82,1782107180.218898
83,1782107180.218907
84,1782107180.218916
85,1782107180.218925
86,1782107180.218934
87,1782107180.218944
88,1782107180.252056
89,1782107180.252094
90,1782107180.252110
91,1782107180.252125
92,1782107180.252138
93,1782107180.252153
94,1782107180.252167
95,1782107180.252180
96,1782107180.252193
97,1782107180.285544
98,1782107180.285583
99,1782107180.285598
100,1782107180.285613
101,1782107180.285626
102,1782107180.285640
103,1782107180.285652
104,1782107180.285666
105,1782107180.285681
106,1782107180.318776
107,1782107180.318822
108,1782107180.318838
109,1782107180.318855
110,1782107180.318868
111,1782107180.318881
112,1782107180.318894
113,1782107180.318907
114,1782107180.318922
115,1782107180.352189
116,1782107180.352231
117,1782107180.352247
118,1782107180.352261
119,1782107180.352274
120,1782107180.352292
121,1782107180.352333
122,1782107180.352347
123,1782107180.352363
124,1782107180.385506
125,1782107180.385537
126,1782107180.385552
127,1782107180.385564
128,1782107180.385576
129,1782107180.385590
130,1782107180.385602
131,1782107180.385614
132,1782107180.385627
133,1782107180.418806
134,1782107180.418859
135,1782107180.418880
136,1782107180.418899
137,1782107180.418917
138,1782107180.418934
139,1782107180.418953
140,1782107180.418972
141,1782107180.418991
142,1782107180.452120
143,1782107180.452161
144,1782107180.452178
145,1782107180.452193
146,1782107180.452209
147,1782107180.452225
148,1782107180.452240
149,1782107180.452259
150,1782107180.452276
151,1782107180.485502
152,1782107180.485548
153,1782107180.485565
154,1782107180.485581
155,1782107180.485596
156,1782107180.485613
157,1782107180.485628
158,1782107180.485643
159,1782107180.485660
160,1782107180.518706
161,1782107180.518736
162,1782107180.518748
163,1782107180.518759
164,1782107180.518770
165,1782107180.518781
166,1782107180.518791
